Time,Agebin,Clone ID,Frequency
210,2086,568425,1
210,2086,500226,1
210,2086,934660,2
210,2086,649799,1
210,2086,247463,1
210,2086,538602,1
210,2086,263393,2
210,2086,242170,2
210,2086,215262,1
210,2086,223994,1
210,2086,1092,1
210,2086,224157,1
210,2086,213282,2
210,2086,179121,3
210,2086,909290,1
210,2086,492984,1
210,2086,262606,3
210,2086,306679,1
210,2086,201822,1
210,2086,250007,1
210,2086,5587,1
210,2086,389500,1
210,2086,206767,2
210,2086,186961,3
210,2086,141749,1
210,2086,67564,1
210,2086,16843,1
210,2086,988090,1
210,2086,514253,3
210,2086,265333,1
210,2086,385475,1
210,2086,36692,1
210,2086,61000,1
210,2086,829447,1
210,2086,253502,1
210,2086,311263,1
210,2086,864791,1
210,2086,458645,2
210,2086,615657,2
210,2086,443699,1
210,2086,174525,1
210,2086,492653,1
210,2086,51831,1
210,2086,135143,1
210,2086,109072,1
210,2086,844759,1
210,2086,316693,1
210,2086,960288,1
210,2086,368976,1
210,2086,112182,2
210,2086,211829,1
210,2086,400043,1
210,2086,147325,2
210,2086,813742,1
210,2086,421439,1
210,2086,271068,1
210,2086,552295,1
210,2086,206982,1
210,2086,299565,1
210,2086,280549,1
210,2086,272946,1
210,2086,282979,1
210,2086,445111,2
210,2086,538399,1
210,2086,390317,1
210,2086,313170,3
210,2086,424503,1
210,2086,317704,3
210,2086,504424,1
210,2086,1758,1
210,2086,296271,1
210,2086,427208,1
210,2086,857413,2
210,2086,317917,1
210,2086,370875,1
210,2086,473004,1
210,2086,944658,2
210,2086,775494,2
210,2086,247936,1
210,2086,401860,1
210,2085,972944,2
210,2085,969474,1
210,2085,417336,1
210,2085,913144,1
210,2085,389119,1
210,2085,428246,1
210,2085,380043,1
210,2085,173033,2
210,2085,92553,1
210,2085,827502,2
210,2085,369438,1
210,2085,364077,11
210,2085,608806,1
210,2085,358699,1
210,2085,340677,1
210,2085,652970,5
210,2085,972349,1
210,2085,659066,1
210,2085,446814,1
210,2085,348262,1
210,2085,358123,2
210,2085,747513,1
210,2085,317295,1
210,2085,369667,2
210,2085,234999,1
210,2085,684071,1
210,2085,285848,1
210,2085,213537,1
210,2085,38496,1
210,2085,826658,2
210,2085,706196,1
210,2085,67424,1
210,2085,260210,1
210,2085,68573,1
210,2085,62775,1
210,2085,272188,2
210,2085,52944,1
210,2085,334738,1
210,2085,55786,1
210,2085,70561,1
210,2085,795301,1
210,2085,730537,1
210,2085,247667,1
210,2085,923577,1
210,2085,25557,1
210,2085,139592,5
210,2085,194456,1
210,2085,472078,1
210,2085,252963,1
210,2085,8998,1
210,2085,344201,8
210,2085,58936,1
210,2085,18993,1
210,2085,439073,1
210,2085,735908,1
210,2085,25313,1
210,2085,509095,2
210,2085,188210,2
210,2085,150735,1
210,2085,222835,1
210,2085,821767,1
210,2085,198628,11
210,2085,120002,1
210,2085,665099,1
210,2085,80662,6
210,2085,834186,1
210,2085,200681,1
210,2085,494305,1
210,2085,189469,1
210,2085,326193,1
210,2085,293060,1
210,2085,501744,2
210,2085,832760,2
210,2085,201054,1
210,2085,488179,2
210,2085,583012,1
210,2085,469350,2
210,2085,265273,1
210,2085,489377,1
210,2085,730169,1
210,2085,78313,1
210,2085,498765,2
210,2085,548676,1
210,2085,507397,1
210,2085,573571,2
210,2085,210521,1
210,2085,589853,1
210,2085,613357,1
210,2085,632977,1
210,2085,646013,1
210,2085,996931,1
210,2085,690844,1
210,2085,648143,1
210,2085,708214,1
210,2085,663105,2
210,2085,669663,1
210,2085,466759,1
210,2085,676471,3
210,2085,909841,1
210,2085,684709,2
210,2085,694181,2
210,2085,699837,1
210,2085,704771,1
210,2085,446424,1
210,2085,720900,1
210,2085,715411,1
210,2085,718531,1
210,2085,742121,1
210,2085,817225,2
210,2085,101425,2
210,2085,941558,1
210,2085,255448,1
210,2085,824189,5
210,2085,832609,1
210,2085,834050,1
210,2085,838131,1
210,2085,852511,1
210,2085,866576,1
210,2085,101243,1
210,2085,897172,1
210,2085,172941,1
210,2085,901022,1
210,2085,912246,1
210,2085,794468,1
210,2085,915515,1
210,2085,921966,2
210,2085,861056,1
210,2085,929675,1
210,2085,551300,1
210,2085,231335,1
210,2085,966869,1
210,2084,996180,1
210,2084,991504,1
210,2084,976821,1
210,2084,416063,1
210,2084,363040,1
210,2084,144600,1
210,2084,818186,1
210,2084,323247,1
210,2084,44990,1
210,2084,880396,1
210,2084,319754,2
210,2084,913225,1
210,2084,277510,1
210,2084,697372,1
210,2084,816371,1
210,2084,272473,1
210,2084,206560,1
210,2084,680143,1
210,2084,267188,1
210,2084,4075,1
210,2084,266215,2
210,2084,252382,1
210,2084,789846,1
210,2084,341711,1
210,2084,6685,2
210,2084,750905,1
210,2084,325545,1
210,2084,917492,1
210,2084,270439,1
210,2084,249258,1
210,2084,242276,1
210,2084,81366,1
210,2084,599780,1
210,2084,308753,1
210,2084,604155,1
210,2084,238130,1
210,2084,200842,2
210,2084,38693,1
210,2084,928826,1
210,2084,33181,1
210,2084,813874,2
210,2084,390081,1
210,2084,279845,1
210,2084,683451,1
210,2084,30898,1
210,2084,25852,1
210,2084,98468,1
210,2084,185209,1
210,2084,683938,1
210,2084,201273,2
210,2084,425991,1
210,2084,9908,1
210,2084,57749,14
210,2084,802237,1
210,2084,463768,1
210,2084,786094,1
210,2084,381675,1
210,2084,522899,1
210,2084,934252,1
210,2084,441757,1
210,2084,302438,1
210,2084,410121,1
210,2084,4437,1
210,2084,141752,1
210,2084,234230,1
210,2084,114047,2
210,2084,92099,2
210,2084,144423,1
210,2084,348286,1
210,2084,748435,1
210,2084,822222,1
210,2084,89435,1
210,2084,161652,1
210,2084,599675,1
210,2084,184640,1
210,2084,77940,1
210,2084,167054,1
210,2084,433563,1
210,2084,722234,1
210,2084,435185,1
210,2084,463897,1
210,2084,545939,1
210,2084,708753,1
210,2084,487746,1
210,2084,977939,1
210,2084,516624,1
210,2084,793230,1
210,2084,530881,1
210,2084,553915,1
210,2084,574627,1
210,2084,616257,1
210,2084,616901,1
210,2084,220940,1
210,2084,627514,1
210,2084,642363,1
210,2084,656371,1
210,2084,336814,1
210,2084,670914,1
210,2084,671757,2
210,2084,707004,2
210,2084,707085,1
210,2084,919556,1
210,2084,827152,1
210,2084,746711,1
210,2084,462738,1
210,2084,751349,2
210,2084,385520,4
210,2084,765623,1
210,2084,223722,1
210,2084,769333,1
210,2084,789336,1
210,2084,823947,1
210,2084,852655,2
210,2084,861488,1
210,2084,132116,1
210,2084,870477,1
210,2084,208242,2
210,2084,873101,1
210,2084,276973,2
210,2084,325803,1
210,2084,873984,1
210,2084,228578,1
210,2084,967710,1
210,2084,904370,1
210,2084,964314,1
210,2084,910903,1
210,2084,54755,1
210,2084,946031,1
210,2084,959938,1
210,2084,962085,1
210,2084,976390,3
210,2083,997349,1
210,2083,940647,1
210,2083,993652,1
210,2083,934978,2
210,2083,925646,1
210,2083,906707,1
210,2083,857568,1
210,2083,852716,10
210,2083,845870,1
210,2083,839219,1
210,2083,771936,1
210,2083,770041,1
210,2083,752372,1
210,2083,751943,1
210,2083,748093,1
210,2083,745431,1
210,2083,734766,1
210,2083,713648,1
210,2083,707751,1
210,2083,958275,1
210,2083,706434,1
210,2083,915449,1
210,2083,679864,1
210,2083,674067,2
210,2083,669043,3
210,2083,878632,3
210,2083,651302,1
210,2083,876249,1
210,2083,630123,1
210,2083,695598,1
210,2083,342919,1
210,2083,322098,1
210,2083,266132,1
210,2083,691997,2
210,2083,404723,1
210,2083,261798,1
210,2083,472664,1
210,2083,709113,1
210,2083,543759,1
210,2083,249344,1
210,2083,196952,2
210,2083,940847,1
210,2083,484282,1
210,2083,856980,1
210,2083,788527,2
210,2083,248269,1
210,2083,210283,1
210,2083,353523,1
210,2083,67871,1
210,2083,44150,1
210,2083,910497,1
210,2083,573439,1
210,2083,483071,1
210,2083,404507,1
210,2083,127124,1
210,2083,306067,2
210,2083,266739,1
210,2083,991096,1
210,2083,384798,1
210,2083,153952,2
210,2083,465864,2
210,2083,29606,1
210,2083,108474,1
210,2083,944714,1
210,2083,715733,1
210,2083,384771,2
210,2083,890926,1
210,2083,708173,2
210,2083,370607,1
210,2083,364285,1
210,2083,474908,1
210,2083,573841,1
210,2083,8310,2
210,2083,47344,1
210,2083,63917,1
210,2083,418285,1
210,2083,68146,2
210,2083,96479,1
210,2083,616033,1
210,2083,404046,1
210,2083,22919,1
210,2083,98946,1
210,2083,435877,1
210,2083,475234,1
210,2083,477430,1
210,2083,99566,1
210,2083,487043,1
210,2083,501524,1
210,2083,522368,1
210,2083,27292,1
210,2083,531736,2
210,2083,527037,1
210,2083,562588,1
210,2083,565833,1
210,2083,135423,1
210,2083,621706,1
210,2083,571541,1
210,2083,574520,1
210,2083,594952,1
210,2083,608827,1
210,2082,996115,1
210,2082,994625,1
210,2082,932907,1
210,2082,899685,1
210,2082,897535,1
210,2082,891442,1
210,2082,863149,1
210,2082,860622,1
210,2082,801010,1
210,2082,758944,1
210,2082,763364,1
210,2082,722216,2
210,2082,721828,1
210,2082,718942,1
210,2082,702191,2
210,2082,681671,2
210,2082,965443,1
210,2082,648324,1
210,2082,624477,2
210,2082,616142,1
210,2082,955987,5
210,2082,610674,1
210,2082,601476,1
210,2082,571625,1
210,2082,792181,1
210,2082,554056,1
210,2082,542580,1
210,2082,996487,1
210,2082,522650,1
210,2082,511998,1
210,2082,191819,1
210,2082,227809,1
210,2082,710595,1
210,2082,705515,1
210,2082,663224,1
210,2082,33050,1
210,2082,2698,2
210,2082,131964,1
210,2082,390211,2
210,2082,128798,1
210,2082,104795,1
210,2082,95827,1
210,2082,318965,3
210,2082,112695,1
210,2082,623507,1
210,2082,65215,2
